id,Class,Area,MajorAxisLength,MinorAxisLength,Eccentricity,ConvexArea,EquivDiameter,Extent,Perimeter,Roundness,AspectRation
3958,1,5872,147.1081747,51.36538507,0.937060349,6031,86.46654039,0.519186561,329.768,0.678545368,2.863955454
3959,1,6918,159.824554,55.802983,0.937066289,7096,93.85239033,0.734394905,358.073,0.678027443,2.864086209
3960,1,6740,157.886691,55.1258546,0.937067517,6895,92.63711206,0.549575995,353.261,0.678700818,2.864113258
3961,1,5404,141.7103215,49.47691479,0.937070119,5535,82.94930078,0.52086747,314.616,0.686062362,2.864170534
3962,1,5914,148.5744157,51.87240292,0.937072752,6102,86.7752192,0.518862958,336.804,0.655143902,2.864228516
3963,1,4790,133.4515956,46.59237248,0.937073136,4906,78.09492569,0.708579882,298.677,0.674748327,2.864236965
3964,1,6620,157.1078026,54.84915575,0.937078785,6844,91.8087457,0.640479876,356.75,0.653641909,2.864361365
3965,1,6064,150.3210924,52.47891944,0.937080951,6248,87.86879195,0.6839612,336.157,0.674349032,2.864409062
3966,1,5128,138.8742771,48.48149584,0.937084173,5333,80.8032944,0.56302152,318.485,0.63530155,2.864480038
3967,1,5255,141.1399482,49.27228397,0.93708461,5503,81.79776163,0.518244576,321.794,0.637715099,2.864489664
3968,1,6029,149.7441072,52.27187937,0.937094901,6217,87.61484586,0.644123932,341.98,0.647819075,2.864716344
3969,1,6595,156.8892661,54.76606613,0.937094919,6714,91.63522684,0.485926908,352.084,0.668547216,2.864716734
3970,1,6579,156.6427853,54.6765918,0.937103085,6843,91.52400212,0.529710145,360.415,0.636449626,2.864896661
3971,1,6048,149.3850872,52.14271256,0.937104481,6410,87.7527935,0.484848485,369.15,0.557719592,2.864927424
3972,1,6691,158.4468458,55.30331111,0.937110121,6934,92.29976053,0.575718465,357.95,0.656230121,2.865051706
3973,1,5321,141.0648798,49.23522316,0.937113272,5456,82.30982698,0.495622206,316.751,0.666449327,2.865121162
3974,1,6246,153.2269066,53.47941311,0.937114891,6443,89.17765525,0.738647115,345.701,0.656765865,2.865156846
3975,1,6100,149.9173262,52.32385955,0.937115985,6291,88.12923024,0.477869174,341.34,0.657908248,2.865180962
3976,1,5452,142.7728994,49.82984684,0.937117233,5600,83.31687703,0.557350235,320.817,0.665657707,2.865208473
3977,1,6094,150.1265547,52.3952723,0.937119984,6295,88.08587733,0.776899541,344.402,0.64562596,2.8652691
3978,1,6177,152.0179636,53.05498706,0.937120966,6383,88.6837114,0.596235521,345.478,0.650349292,2.865290748
3979,1,5476,143.5379955,50.09397538,0.937124761,5638,83.50005837,0.505912786,321.224,0.666894801,2.865374417
3980,1,5417,141.3709388,49.33594094,0.937129354,5553,83.04901332,0.558338487,317.79,0.674043998,2.865475677
3981,1,6750,158.0229449,55.14686917,0.937130121,7020,92.70580849,0.626159555,371.009,0.61623271,2.865492588
3982,1,5871,147.3925478,51.43584769,0.937133213,6009,86.45917746,0.542405765,330.824,0.674105589,2.86556078
3983,1,6201,152.0317907,53.05422957,0.937134642,6324,88.85582939,0.484453125,341.034,0.670002214,2.865592281
3984,1,6299,152.7481222,53.30359039,0.937136143,6414,89.55521142,0.481207028,343.624,0.670369882,2.865625395
3985,1,6123,150.6197183,52.56058822,0.937136801,6331,88.29521919,0.521328225,338.889,0.669975897,2.865639891
3986,1,6140,152.0117302,53.04631246,0.937136887,6354,88.4177064,0.708679594,346.37,0.643128412,2.865641798
3987,1,6115,150.9048921,52.65930011,0.937138782,6341,88.23751932,0.602878833,344.164,0.648747122,2.865683588
3988,1,4755,133.3946199,46.54871255,0.937139501,4956,77.8090871,0.535472973,298.786,0.669329393,2.865699448
3989,1,6751,159.0098627,55.48550029,0.937143665,6935,92.71267533,0.796296296,359.107,0.657855077,2.865791276
3990,1,6034,149.8715565,52.29618885,0.937145047,6243,87.65116892,0.485985825,340.999,0.65209213,2.86582177
3991,1,6113,150.7357058,52.59735957,0.93714595,6297,88.22308846,0.668087432,342.741,0.653931324,2.865841689
3992,1,6113,151.2492399,52.77591172,0.937147524,6246,88.22308846,0.474980575,337.031,0.676276914,2.865876401
3993,1,6516,155.5930619,54.29114116,0.937148661,6756,91.08473458,0.50046083,354.437,0.651797718,2.865901481
3994,1,6781,158.7678877,55.39770804,0.937151536,7002,92.91844463,0.586997922,359.926,0.657774705,2.865964917
3995,1,7067,161.8496236,56.47271325,0.937152186,7255,94.85770323,0.735379813,363.721,0.671286947,2.865979237
3996,1,6348,154.3693861,53.85818933,0.93716307,6532,89.90286219,0.78896346,344.84,0.670828506,2.866219381
3997,1,4501,129.101131,45.04133589,0.937165868,4740,75.70238564,0.482732733,294.289,0.653086668,2.866281126
3998,1,6134,150.7530409,52.59509224,0.937166488,6245,88.37449501,0.489779623,337.876,0.675210127,2.866294829
3999,1,5469,142.0871635,49.57171269,0.937166506,5627,83.44667201,0.502203857,324.45,0.652863262,2.866295227
4000,1,6773,159.0521921,55.48988455,0.937167977,6969,92.8636174,0.752054186,360.595,0.65456313,2.866327682
4001,1,5622,145.2227233,50.66432658,0.93716991,5784,84.60586694,0.51940133,325.664,0.666133384,2.866370346
4002,1,5829,147.5685178,51.48028708,0.937176026,5968,86.14936626,0.480227385,332.921,0.660878371,2.866505339
4003,1,6187,152.3659038,53.1523193,0.937179859,6455,88.75546779,0.505804447,348.723,0.639335464,2.86658994
4004,1,6290,152.542249,53.21331588,0.937181129,6449,89.49121039,0.701460912,339.589,0.68541449,2.866617997
4005,1,6510,155.7352744,54.32686728,0.937181879,6671,91.04278904,0.477798165,350.488,0.665954482,2.866634543
4006,1,6246,152.1074628,53.06108731,0.937182491,6390,89.17765525,0.720166033,342.219,0.670198742,2.866648056
4007,1,6534,156.7105666,54.66648877,0.937183305,6675,91.21045546,0.47327249,349.944,0.670489361,2.866666034
4008,1,6396,154.4774247,53.88630984,0.937186138,6559,90.24211948,0.489439853,346.475,0.669536892,2.866728584
4009,1,6427,155.1816988,54.13110668,0.937188237,6501,90.46054695,0.840130719,345.618,0.676122609,2.866774915
4010,1,6258,152.5780155,53.22204688,0.937190268,6434,89.26327952,0.489212008,342.168,0.671686532,2.866819757
4011,1,6020,149.8014151,52.25276629,0.937192133,6155,87.54942638,0.479910714,337.024,0.666016054,2.866860948
4012,1,6853,159.2950333,55.56366348,0.937193548,7025,93.4104416,0.704461349,358.188,0.671225631,2.866892198
4013,1,6339,154.7572659,53.97940051,0.937197024,6586,89.83910882,0.504055344,345.596,0.666949884,2.866968962
4014,1,4841,134.0050189,46.74051446,0.937198394,4986,78.50957035,0.470822797,302.536,0.664646658,2.866999229
4015,0,6445,117.8810345,71.80729842,0.793054597,6552,90.58713411,0.585058097,310.237,0.841483494,1.641630268
4016,1,6197,151.2872765,52.76770993,0.937200362,6362,88.82716622,0.681813181,341.814,0.666517669,2.86704268
